method,runtime_path,openapi_path,controller,auth_requirement,permission,request_schema,response_schema,mutation_or_read_only,authoritative_effect,ui_caller,focused_test,status
GET,/api/v1/admin/pricing-policies/{id},/api/v1/admin/pricing-policies/{id},apps/api/src/pricing-policy/pricing-policy.admin.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/property,/api/v1/admin/property,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/rate-plans,/api/v1/admin/rate-plans,apps/api/src/pricing/rate-plan.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/room-operations,/api/v1/admin/room-operations,apps/api/src/booking/room-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/room-types,/api/v1/admin/room-types,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/admin/rooms,/api/v1/admin/rooms,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/customer/bookings,/api/v1/customer/bookings,apps/api/src/customer/customer-bookings.controller.ts,customer cookie session,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/customer/bookings/{bookingCode},/api/v1/customer/bookings/{bookingCode},apps/api/src/customer/customer-bookings.controller.ts,customer cookie session,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/customer/bookings/{bookingCode}/access-pass,/api/v1/customer/bookings/{bookingCode}/access-pass,apps/api/src/customer/customer-bookings.controller.ts,customer cookie session,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/customer/bookings/{bookingCode}/payment,/api/v1/customer/bookings/{bookingCode}/payment,apps/api/src/customer/customer-bookings.controller.ts,customer cookie session,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/customer/profile,/api/v1/customer/profile,apps/api/src/customer/customer-profile.controller.ts,customer cookie session,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/customer/profile/session,/api/v1/customer/profile/session,apps/api/src/customer/customer-profile.controller.ts,customer cookie session,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/health/live,,apps/api/src/health/health.controller.ts,none (internal health probe),route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,ALLOWLISTED
GET,/api/v1/health/ready,,apps/api/src/health/health.controller.ts,none (internal health probe),route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,ALLOWLISTED
GET,/api/v1/payments/providers/momo/return,/api/v1/payments/providers/momo/return,apps/api/src/payment/momo-return.controller.ts,public or route-specific guard,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/payments/providers/vnpay/return,/api/v1/payments/providers/vnpay/return,apps/api/src/payment/vnpay-return.controller.ts,public or route-specific guard,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/public/bookings/{bookingCode},/api/v1/public/bookings/{bookingCode},apps/api/src/booking/booking-detail.controller.ts,guest booking cookie where required,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/public/bookings/{bookingCode}/access-pass,/api/v1/public/bookings/{bookingCode}/access-pass,apps/api/src/booking/booking-detail.controller.ts,guest booking cookie where required,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/public/bookings/{bookingCode}/payment,/api/v1/public/bookings/{bookingCode}/payment,apps/api/src/payment/payment-status.controller.ts,guest booking cookie where required,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/public/payment-providers,/api/v1/public/payment-providers,apps/api/src/payment/payment-provider.controller.ts,public or route-specific guard,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/public/provider-readiness,/api/v1/public/provider-readiness,apps/api/src/auth/provider-readiness.controller.ts,public or route-specific guard,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/public/room-types,/api/v1/public/room-types,apps/api/src/public-catalog/public-room-catalog.controller.ts,public or route-specific guard,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/quotes/{id},/api/v1/quotes/{id},apps/api/src/pricing/quote.controller.ts,public or route-specific guard,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
GET,/api/v1/webhooks/vnpay,/api/v1/webhooks/vnpay,apps/api/src/payment/vnpay-webhook.controller.ts,provider signature verification,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,read-only,read only,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/accounts/{id},/api/v1/admin/accounts/{id},apps/api/src/admin/admin-access.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/amenities/{id},/api/v1/admin/amenities/{id},apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/customer-accounts/{id},/api/v1/admin/customer-accounts/{id},apps/api/src/admin/admin-access.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/payment-providers/{provider},/api/v1/admin/payment-providers/{provider},apps/api/src/payment/admin-payment-provider.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/price-tiers/{id},/api/v1/admin/price-tiers/{id},apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/pricing-policies/{id},/api/v1/admin/pricing-policies/{id},apps/api/src/pricing-policy/pricing-policy.admin.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/property,/api/v1/admin/property,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/rate-plans/{id}/prices/{priceTierId},/api/v1/admin/rate-plans/{id}/prices/{priceTierId},apps/api/src/pricing/rate-plan.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/rate-plans/{id}/selection-rule,/api/v1/admin/rate-plans/{id}/selection-rule,apps/api/src/pricing/rate-plan.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/room-types/{id},/api/v1/admin/room-types/{id},apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/rooms/{id},/api/v1/admin/rooms/{id},apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/admin/rooms/{id}/housekeeping,/api/v1/admin/rooms/{id}/housekeeping,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
PATCH,/api/v1/customer/profile,/api/v1/customer/profile,apps/api/src/customer/customer-profile.controller.ts,customer cookie session,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/auth/*,,apps/api/src/auth/auth.controller.ts,framework-owned auth boundary,route-specific; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,ALLOWLISTED
POST,/api/v1/admin/accounts,/api/v1/admin/accounts,apps/api/src/admin/admin-access.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/accounts/{id}/revoke-sessions,/api/v1/admin/accounts/{id}/revoke-sessions,apps/api/src/admin/admin-access.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/amenities,/api/v1/admin/amenities,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/amenities/{id}/archive,/api/v1/admin/amenities/{id}/archive,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/booking-access-passes/scan,/api/v1/admin/booking-access-passes/scan,apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/bookings/{bookingCode}/cancel,/api/v1/admin/bookings/{bookingCode}/cancel,apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/bookings/{bookingCode}/cancellation-preview,/api/v1/admin/bookings/{bookingCode}/cancellation-preview,apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/bookings/{bookingCode}/check-in,/api/v1/admin/bookings/{bookingCode}/check-in,apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/bookings/{bookingCode}/check-out,/api/v1/admin/bookings/{bookingCode}/check-out,apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/bookings/{bookingCode}/no-show,/api/v1/admin/bookings/{bookingCode}/no-show,apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/bookings/{bookingCode}/send-coupons,/api/v1/admin/bookings/{bookingCode}/send-coupons,apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/coupons,/api/v1/admin/coupons,apps/api/src/coupons/coupon.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/coupons/{id}/disable,/api/v1/admin/coupons/{id}/disable,apps/api/src/coupons/coupon.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/customer-accounts/{id}/revoke-sessions,/api/v1/admin/customer-accounts/{id}/revoke-sessions,apps/api/src/admin/admin-access.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/departments,/api/v1/admin/departments,apps/api/src/admin/admin-access.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/maintenance-blocks,/api/v1/admin/maintenance-blocks,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/maintenance-blocks/{id}/cancel,/api/v1/admin/maintenance-blocks/{id}/cancel,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/operational-reviews/{reviewId}/resolve,/api/v1/admin/operational-reviews/{reviewId}/resolve,apps/api/src/booking/admin-booking-operations.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/payments/{paymentId}/reconcile,/api/v1/admin/payments/{paymentId}/reconcile,apps/api/src/payment/admin-payment-reconciliation.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/price-tiers,/api/v1/admin/price-tiers,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/price-tiers/{id}/archive,/api/v1/admin/price-tiers/{id}/archive,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/pricing-policies,/api/v1/admin/pricing-policies,apps/api/src/pricing-policy/pricing-policy.admin.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/pricing-policies/{id}/cancel,/api/v1/admin/pricing-policies/{id}/cancel,apps/api/src/pricing-policy/pricing-policy.admin.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/pricing-policies/{id}/preview,/api/v1/admin/pricing-policies/{id}/preview,apps/api/src/pricing-policy/pricing-policy.admin.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/pricing-policies/{id}/publish,/api/v1/admin/pricing-policies/{id}/publish,apps/api/src/pricing-policy/pricing-policy.admin.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/pricing-policies/{id}/retire,/api/v1/admin/pricing-policies/{id}/retire,apps/api/src/pricing-policy/pricing-policy.admin.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/pricing-policies/{predecessorId}/supersede,/api/v1/admin/pricing-policies/{predecessorId}/supersede,apps/api/src/pricing-policy/pricing-policy.admin.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/pricing-policies/bootstrap,/api/v1/admin/pricing-policies/bootstrap,apps/api/src/pricing-policy/pricing-policy.admin.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/rate-plans,/api/v1/admin/rate-plans,apps/api/src/pricing/rate-plan.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/rate-plans/{id}/activate,/api/v1/admin/rate-plans/{id}/activate,apps/api/src/pricing/rate-plan.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/rate-plans/{id}/inactivate,/api/v1/admin/rate-plans/{id}/inactivate,apps/api/src/pricing/rate-plan.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/room-types,/api/v1/admin/room-types,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/room-types/{id}/amenities,/api/v1/admin/room-types/{id}/amenities,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/room-types/{id}/archive,/api/v1/admin/room-types/{id}/archive,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
POST,/api/v1/admin/rooms,/api/v1/admin/rooms,apps/api/src/catalog/catalog.controller.ts,administrator cookie session,controller guard; see source,shared contract or controller validation; see source,shared contract or controller response; see source,mutation,controller-authoritative mutation,verified by web/API caller tests where applicable,controller and contract test suite,DOCUMENTED
