ID,Domain,Requirement,AuthoritativeSource,Evidence,Status,Severity,ExploitOrFailureMode,CustomerImpact,FinancialImpact,DataIntegrityImpact,ProductionBlocker,ExternalDependency,OwningComponent,RecommendedFix,RequiredTests,EstimatedEffort,SuggestedPhase,Dependencies
DATA-002,Database,audit_events append-only protection,docs/domain/audit-policy.md (no such doc; INV-024..027),"Immutability is by code path; no DB trigger prevents UPDATE/DELETE on audit_events.",VERIFIED_WITH_LIMITATION,P3,"A code bug could mutate or delete audit rows; loss of forensic trail.",None,High if combined with a code bug (financial dispute),High if combined with a code bug,No,None,packages/database/drizzle (add trigger),"Add BEFORE UPDATE/DELETE trigger that raises.",Unit test.,XS,Phase 8F,None
SECURITY-001,Web,Security headers (CSP, HSTS, X-Frame-Options),docs/security/threat-model.md (THR-014 XSS),"No security-headers middleware observed in apps/web/src/middleware.ts.",NOT_VERIFIED,P1,"XSS / clickjacking risk in the Web app.",Medium - if XSS or clickjacking exploited,Low,Low (no DB write),No,None,apps/web/src/middleware.ts (or equivalent),Add a Next.js middleware that sets CSP / HSTS / X-Frame-Options / Referrer-Policy.,Integration test that asserts headers in response.,S,Phase 8E,None
SECURITY-002,Security,Dependency audit,RELEASE_CHECKLIST.md,"pnpm audit is not in the regression baseline; no CI step.",NOT_VERIFIED,P2,"Known-vulnerable dependencies shipped to production.",Medium - supply-chain risk,None,Medium,No,None,repo root,.github/workflows or CI: add pnpm audit --prod as a step.,N/A - test is the CI step itself.,XS,Phase 8E,None
SECURITY-003,Security,Web bundle secret scan,RELEASE_CHECKLIST.md,"No committed step scans apps/web/.next for provider secrets.",NOT_VERIFIED,P2,"A leaked secret in the bundle is exposed to every browser.",None,High - credential leakage,None,Yes (production cannot ship if secret leaks),None,scripts/ (new),Add a script that greps .next/static for known-secret shapes; fail CI on match.,N/A.,XS,Phase 8E,None
OBSERVABILITY-001,Observability,SLOs / metrics endpoint / dashboards / alerts,OBSERVABILITY_POLICY.md,"No SLOs are documented; no /metrics endpoint; no dashboards; no alert rules.",NOT_VERIFIED,P0,"Production incidents cannot be detected, alerted, or tracked against an SLO. Health-check only confirms the process is alive.",Medium - degraded MTTR,Medium - revenue impact during outages,Low,Yes,Monitoring infra (Prometheus/Grafana or equivalent),apps/api/src/health (add metrics) + new dashboard JSON + alert rules,"Define 3 SLOs (api-availability, payment-success-rate, quote-creation-latency); add /metrics endpoint using prom-client; add Grafana dashboard JSON; add alert rules.",Synthetic tests for the /metrics endpoint.,M (3-5 days),Phase 8F,SRE decision
OBSERVABILITY-002,Observability,Data retention policy,pkg/database schema,"No retention policy for payment_provider_events, audit_events, outbox_events.",NOT_VERIFIED,P2,"DB grows unbounded; cost grows; archival cost grows.",None,None,Low,No,None,packages/database (new) + apps/worker,Document 365-day retention; add archival job.,Test archival cron.,S,Phase 8F,None
OBSERVABILITY-003,Observability,Readiness endpoint,apps/api/src/health/,"Only /health (liveness) exists; no /ready that returns 503 when DB is down.",NOT_VERIFIED,P3,"K8s liveness probe will keep routing traffic to a broken pod.",Low,Low,None,No,None,apps/api/src/health (add ready),Add /ready endpoint that pings DB.,Unit test.,XS,Phase 8F,None
OBSERVABILITY-004,Observability,Outbox dead-letter queue,apps/worker/src/jobs/,Failed outbox rows remain PENDING and are retried forever.,VERIFIED_WITH_LIMITATION,P3,"A poisoned outbox row can starve the queue.",Low,None,Low,No,None,apps/worker/src/jobs/outbox (add DLQ),After N retries move to outbox_dlq; surface in dashboard.,Unit test.,S,Phase 8F,None
MIGRATION-001,Migration,Zero/low-downtime migration strategy,DB_MIGRATION_POLICY.md,"Forward-only; no documented backward-compatibility window for safe rollback.",NOT_VERIFIED,P1,"Deploying a breaking schema change requires downtime or a manual rollback dance.",Medium during rollout,Low,Low,Yes (production cutover blocked),None,packages/database (new ADR),Add an ADR specifying expand-contract pattern for breaking changes; pre-deploy shadow column; cutover; drop.,Test the expand-contract pattern in Phase 8C.,S,Phase 8F,None
MIGRATION-002,Migration,Phase 7F to 7G historical-data upgrade,DB_MIGRATION_POLICY.md,"Audit did not execute the historical-data upgrade simulation in this phase.",NOT_VERIFIED,P2,"Old bookings (CANCELLED, NO_SHOW) may violate new constraints; silent data corruption on upgrade.",None,None,High - data corruption,No,None,packages/database/seed (Phase 7F dataset) + new test,Run migration against a synthetic Phase 7F snapshot; assert no constraint violations; document the runbook.,Integration test against a Phase 7F-shaped DB.,M,Phase 8C,Phase 7F seed dataset
BACKUP-001,Backup/Restore,RPO/RTO documented,RELEASE_CHECKLIST.md,"No RPO/RTO documented; drill ran on disposable DB only.",NOT_VERIFIED,P1,"Cannot answer customer or compliance questions about disaster recovery; cannot size backups.",High during incident,High during incident,Medium,Yes,None,docs/runbooks (new ADR/DR),Add ADR specifying RPO (e.g. 15 min) and RTO (e.g. 4 h); document restore procedure with measurable timings.,Tabletop exercise + drill on disposable DB.,S,Phase 8F,None
DEPLOYMENT-001,Deployment,Production deployment artifacts,RELEASE_CHECKLIST.md,"No Dockerfile, no docker-compose.production.yaml, no Helm/Kustomize, no CI/CD, no domain/DNS, no TLS, no reverse proxy/WAF.",NOT_VERIFIED,P0,"Cannot ship to production; deployment story does not exist.",Blocking,Blocking,N/A,Yes,None,repo root (new infra/),Author production Dockerfiles, compose, Helm chart, CDN config, TLS termination, WAF, secrets injection via env or vault.,Smoke test in staging.,L (1-2 weeks),Phase 8H,Infrastructure access
DEPLOYMENT-002,Deployment,Production SMTP / email,RELEASE_CHECKLIST.md,"Dev uses Mailpit (localhost:1025); no production SMTP.",NOT_VERIFIED,P1,"Booking confirmations never arrive in production; customer cannot self-serve.",High - silent failure,None,Low,Yes,SMTP provider (SES/SendGrid/etc.),apps/api + apps/worker (config),"Configure production SMTP env (SMTP_HOST/PORT/SECURE/FROM); verify SPF/DKIM/DMX; document password-reset and booking flows end-to-end.",Manual send-and-receive test in staging.,S,Phase 8H,SMTP provider
EXTENSIBILITY-001,Extensibility,Generic PaymentProviderAdapter interface,apps/api/src/payment/payment.module.ts,"Adapters are hand-wired in the module; no interface contract.",VERIFIED_WITH_LIMITATION,P2,"Adding a third provider requires editing the module; higher regression risk.",None,None,None,No,None,apps/api/src/payment/,Define a `PaymentProviderAdapter` interface with `verify`, `create`, `parseReturn`; wire adapters as providers.,Unit test confirming a stub adapter can be plugged in.,M,Phase 8G,None
EXTENSIBILITY-002,Extensibility,Admin UI for new pricing plan,apps/web/src/app/admin/rate-plans/,"Rate-plan admin exists; combo-window definition may not be exposed to non-technical operators.",VERIFIED_WITH_LIMITATION,P3,"Pricing changes require DBA/admin intervention.",None,None,None,No,None,apps/web/src/app/admin/rate-plans/,Audit the admin UI for coverage of all 4 eligibility windows.,Manual UI walkthrough.,S,Phase 8G,None
SCALABILITY-001,Scalability,Outbox / audit-event retention,pkg/database,"No retention policy; rows accumulate forever.",VERIFIED_WITH_VERIFIED_WITH_LIMITATION,P2,"Long-term DB growth; archival cost.",None,Low,Low,No,None,packages/database (new table) + apps/worker (job),Add a partitioned table or a scheduled archive job.,Test archival cron.,S,Phase 8G,None
